HRR,HRR Name,Provider ID,Hospital Name,City,State,System,Number of deaths among chronically ill patients assigned to hospital,Percent of enrollees medical inpatient days at hospital to which they were assigned,Hospital Care Intensity Index during the Last Two Years of Life,Total Medicare Reimbursements per Decedent during the Last Two Years of Life,Inpatient Sector Reimbursements per Decedent during the Last Two Years of Life,Outpatient Sector Reimbursements per Decedent during the Last Two Years of Life,SNF/Long-Term Care Sector Reimbursements per Decedent during the Last Two Years of Life,Home Health Sector Reimbursements per Decedent during the Last Two Years of Life,Hospice Sector Reimbursements per Decedent during the Last Two Years of Life,Ambulance spending per Decedent during the last two years of life,Reimbursements for Durable Medical Equipment per Decedent during the Last Two Years of Life,Other spending per Decedent during the last two years of life,Part B Spending per Decedent during the Last Two Years of Life,Part B Spending for Evaluation & Management per Decedent during the Last Two Years of Life,Part B Spending for Procedures per Decedent during the Last Two Years of Life,Part B Spending for Imaging per Decedent during the Last Two Years of Life,Part B Spending for Tests per Decedent during the Last Two Years of Life,Other Part B spending per Decedent during the last two years of life,Hospital reimbursements per Decedent during the last two years of life,Inpatient Days per Decedent during the Last Two Years of Life,Reimbursements per patient day (calculated),Hospital Reimbursements: Ratio to US Average (calculated),Hospital Days: Ratio to US Average (calculated),Reimbursements per Day: Ratio to US Average (calculated),Payments for physician visits per Decedent during the last two years of life,Physician Visits per Decedent during the Last Two Years of Life,Payments per physician visit (calculated),Physician visit payments: Ratio to US Average (calculated),Physician visits: Ratio to US Average (calculated),Payments per visit: Ratio to US Average (calculated),"Hospital Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Total ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","High-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Intermediate-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Medical & Surgical Unit Bed Inputs per 1,000 Decedents during the Last Two Years of Life","SNF Bed Inputs per 1,000 Dededents during the Last Two Years of Life","FTE Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Medical Specialist Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Primary Care Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life",Standardized FTE physician labor: Ratio MS/PC (calculated),"RNs Required Under Proposed Federal Standards per 1,000 Decedents during the Last Two Years of Life",Inpatient Days per Decedent during the Last Six Months of Life,Total ICU Days per Decedent during the Last Six Months of Life,High-Intensity ICU Days per Decedent during the Last Six Months of Life,Intermediate-Intensity ICU Days per Decedent during the Last Six Months of Life,Medical & Surgical Unit Days per Decedent during the Last Six Months of Life,SNF Days per Decedent during the Last Six Months of Life,Physician Visits per Decedent during the Last Six Months of Life,Medical Specialist Visits per Decedent during the Last Six Months of Life,Primary Care Visits per Decedent during the Last Six Months of Life,Physician visits per decedent last 6 months: Ratio MS/PC (calculated),Home Health Agency Visits per Decedent during the Last Six Months of Life,Percent of Deaths Occurring In Hospital,Percent of Deaths Associated With ICU Admission,Percent of Decedents Enrolled In Hospice during the Last Six Months of Life,Hospice Days per Decedent during the Last Six Months of Life,Percent of Decedents Seeing 10 or More Different Physicians during the Last Six Months of Life,Number of Different Physicians Seen per Decedent during the Last Six Months of Life,Average Co-Payments per Decedent during the Last Two Years of Life,Average Co-Payments for Physician Services per Decedent during the Last Two Years of Life,Average Co-Payments for Durable Medical Equipment per Decedent during the Last Two Years of Life
103,CO- DENVER,60009,Lutheran Medical Center,Wheat Ridge,CO,SCL Health,240,91.3,0.7,"81,282","31,142","19,299","12,653","6,896","8,039","1,177",784,"1,291","14,839","6,306","2,770","1,525","1,190","3,047","27,853",12.2,"2,274",0.7,0.7,1.1,"6,338",50.6,125,0.9,0.8,1.2,33.6,19.0,5.5,13.5,14.5,43.3,23.2,12.4,6.4,1.9,32.7,7.5,4.6,1.5,3.1,2.9,6.8,24.2,11.2,3.9,2.8,10.9,14.9,13.0,68.2,27.3,63.4,15.0,"4,471","4,227",244
104,CO- FORT COLLINS,60010,Poudre Valley Hospital,Fort Collins,CO,UCHealth,292,92.3,0.8,"90,732","36,726","22,958","16,656","4,621","7,034",244,"1,311","1,181","13,163","6,731","3,004","1,302",659,"1,467","33,175",15.6,"2,127",0.9,0.9,1.0,"6,768",53.9,125,0.9,0.8,1.2,42.7,13.2,3.5,9.6,29.6,75.0,23.6,10.8,7.5,1.4,37.1,8.3,1.6,0.7,0.9,6.7,11.3,23.2,9.5,4.8,2.0,9.2,18.3,7.9,67.9,28.2,65.9,16.4,"4,110","3,734",376
293,NM- ALBUQUERQUE,60013,Mercy Regional Medical Center,Durango,CO,CommonSpirit Health,120,92.4,0.6,"75,560","37,013","18,208","10,093","3,607","4,621",814,"1,011",194,"9,474","4,621","2,004",567,435,"1,848","34,053",12.3,"2,777",0.9,0.7,1.3,"4,863",40.9,119,0.7,0.6,1.1,33.6,11.3,4.5,6.8,22.3,56.9,21.9,7.6,9.9,0.8,30.3,7.0,2.8,1.3,1.5,4.2,8.5,18.6,6.7,9.9,0.7,7.6,16.6,9.4,60.0,18.2,48.6,11.2,"3,129","2,799",330
103,CO- DENVER,60015,St. Anthony Hospital -Lakewood,Lakewood,CO,CommonSpirit Health,256,90.6,0.7,"87,844","33,405","22,916","13,123","6,011","8,541","1,427","1,232","1,190","21,854","6,305","3,537","1,847","1,154","9,011","29,739",13.8,"2,159",0.8,0.8,1.0,"6,364",50.5,126,0.9,0.8,1.2,37.7,9.0,6.4,2.6,28.8,50.5,29.7,12.1,11.3,1.1,33.7,8.0,2.0,1.5,0.4,6.0,9.0,23.2,9.7,9.4,1.0,9.5,20.4,16.6,61.8,29.6,69.8,16.6,"6,375","6,031",344
107,CO- PUEBLO,60020,Parkview Medical Center,Pueblo,CO,,371,90.3,0.8,"73,516","32,494","16,251","11,075","4,015","6,006","1,807","1,309",560,"14,457","5,612","2,295",996,789,"4,766","28,721",15.9,"1,808",0.8,0.9,0.9,"5,955",53.3,112,0.8,0.8,1.0,43.5,7.6,6.6,1.0,36.0,62.4,22.6,10.8,6.8,1.6,37.8,9.1,1.8,1.6,0.2,7.3,10.0,24.3,10.5,5.0,2.1,7.2,22.5,12.2,59.2,26.2,63.7,13.8,"4,459","4,039",421
102,CO- COLORADO SPRINGS,60022,Univ. Colorado Mem Hosp-Co Springs,Colorado Springs,CO,UCHealth,534,90.0,0.7,"78,805","32,990","15,993","13,593","5,515","7,277","1,616","1,085",736,"12,626","5,548","2,318","1,003",850,"2,908","29,791",13.0,"2,293",0.8,0.7,1.1,"5,692",48.6,117,0.8,0.7,1.1,35.6,5.5,4.5,0.9,30.1,52.4,26.2,10.7,9.9,1.1,30.3,7.6,1.3,1.2,0.2,6.2,8.4,21.0,9.8,8.4,1.2,8.7,23.6,11.8,59.9,28.8,63.4,13.6,"3,960","3,630",331
105,CO- GRAND JUNCTION,60023,St. Mary's Medical Center,Grand Junction,CO,SCL Health,289,91.0,0.6,"70,919","33,054","15,299","8,861","2,414","8,162","1,323","1,549",256,"10,182","4,354","2,812",667,464,"1,885","30,164",12.8,"2,365",0.8,0.7,1.1,"4,561",45.4,101,0.6,0.7,0.9,34.9,19.3,4.3,15.0,15.7,45.4,23.0,8.6,10.2,0.8,33.2,7.5,4.4,1.2,3.2,3.1,7.5,20.5,7.8,10.3,0.8,3.6,26.5,21.1,54.7,28.2,52.5,11.4,"3,515","3,061",454
103,CO- DENVER,60024,University Of Colorado Hospital,Aurora,CO,UCHealth,438,86.8,0.9,"101,958","53,149","25,166","10,149","4,468","5,185","1,037","2,088",716,"12,145","5,779","2,590","1,043",880,"1,853","49,145",19.3,"2,542",1.3,1.1,1.2,"5,873",57.1,103,0.8,0.9,1.0,53.0,14.5,7.0,7.5,38.5,48.5,28.5,15.0,6.1,2.5,46.8,11.2,3.1,1.6,1.5,8.1,9.6,26.0,11.6,3.6,3.2,8.9,24.4,20.0,59.1,23.1,67.5,16.2,"5,040","4,433",607
101,CO- BOULDER,60027,Boulder Community Health,Boulder,CO,,173,95.3,0.7,"85,955","30,444","23,827","11,110","6,395","9,966",927,"2,171","1,113","22,229","7,108","3,584","1,600",772,"9,165","26,993",13.5,"1,995",0.7,0.7,1.0,"7,144",55.5,129,1.0,0.8,1.2,37.1,19.3,2.4,16.9,17.8,48.4,30.6,13.5,11.4,1.2,33.8,7.5,3.7,0.5,3.2,3.8,8.7,24.2,11.4,10.0,1.1,9.8,17.2,14.0,70.9,37.0,62.1,14.9,"6,738","6,134",603
106,CO- GREELEY,60030,Mckee Medical Center,Loveland,CO,Banner Health,86,87.8,0.4,"64,658","24,502","15,611","10,694","4,148","7,172","1,080",809,639,"10,660","4,742","2,102",694,723,"2,399","22,473",8.6,"2,612",0.6,0.5,1.3,"4,847",35.8,136,0.7,0.5,1.3,23.6,7.4,1.8,5.6,16.2,46.9,17.9,6.6,7.3,0.9,20.4,5.1,1.6,0.5,1.0,3.5,8.4,15.8,5.7,7.2,0.8,6.1,-99999.0,-99999.0,66.3,26.1,45.3,11.4,"3,230","2,980",250
102,CO- COLORADO SPRINGS,60031,Penrose-St. Francis Hlth Svcs,Colorado Springs,CO,CommonSpirit Health,528,92.4,0.6,"77,378","29,293","17,714","12,182","5,403","8,776","1,339","2,023",647,"16,288","5,434","2,733","1,087",882,"6,152","26,212",12.3,"2,129",0.7,0.7,1.0,"5,505",47.5,116,0.8,0.7,1.1,33.7,8.3,4.2,4.1,25.5,52.1,23.8,10.4,8.4,1.2,29.5,7.3,1.9,1.1,0.8,5.4,8.4,21.0,9.5,6.3,1.5,9.0,13.9,9.3,68.6,33.2,59.6,12.9,"5,095","4,519",576
103,CO- DENVER,60032,Rose Medical Center,Denver,CO,HCA Healthcare,122,86.8,0.9,"98,250","42,606","20,534","16,709","6,878","6,817","1,500","1,711","1,494","21,832","7,749","3,775","3,714",906,"5,688","38,210",17.8,"2,142",1.0,1.0,1.0,"7,771",56.7,137,1.1,0.9,1.3,48.9,30.0,8.0,21.9,18.9,64.9,31.9,14.2,11.5,1.2,48.2,9.6,6.2,2.0,4.2,3.4,9.5,24.2,12.4,9.4,1.3,12.9,13.0,12.6,61.7,24.7,58.4,13.6,"6,537","6,053",483
103,CO- DENVER,60034,Swedish Medical Center,Englewood,CO,HCA Healthcare,269,89.1,1.0,"94,697","40,050","16,362","16,313","6,493","8,647","1,817","3,826","1,189","18,022","7,500","3,111","1,206",923,"5,283","35,162",18.5,"1,901",0.9,1.0,0.9,"7,629",62.5,122,1.1,0.9,1.1,50.7,11.5,7.8,3.7,39.1,59.7,33.3,15.5,11.7,1.3,44.8,11.1,2.7,2.1,0.6,8.4,10.5,31.1,15.5,11.8,1.3,11.4,17.1,10.1,66.0,26.7,66.5,16.5,"5,717","4,680","1,036"
103,CO- DENVER,60064,Porter Adventist Hospital,Denver,CO,AdventHealth,140,88.4,0.9,"86,092","38,515","16,891","12,223","6,814","8,002",983,"1,447","1,218","16,299","7,377","3,809","1,692","1,053","2,369","33,583",16.3,"2,063",0.9,0.9,1.0,"7,440",62.7,119,1.0,0.9,1.1,44.6,9.9,7.5,2.5,34.7,40.2,32.4,13.5,12.9,1.0,39.7,8.9,2.0,1.5,0.4,7.0,6.2,27.4,11.6,12.1,1.0,9.6,29.6,15.6,55.6,30.3,59.4,15.2,"4,873","4,455",417
105,CO- GRAND JUNCTION,60075,Valley View Hospital,Glenwood Springs,CO,,80,89.4,0.8,"95,408","47,748","21,520","14,087","3,534","4,859","1,641","1,763",255,"10,623","4,847","2,173",805,532,"2,266","44,172",17.8,"2,476",1.2,1.0,1.2,"5,208",47.4,110,0.7,0.7,1.0,48.9,6.1,4.8,1.3,42.8,78.2,24.1,10.6,9.2,1.1,40.6,10.8,1.3,1.1,0.2,9.6,14.8,22.2,11.2,6.8,1.7,8.4,37.2,14.2,35.7,17.3,60.8,13.0,"3,675","3,188",487
103,CO- DENVER,60100,Medical Center Of Aurora,Aurora,CO,HCA Healthcare,241,86.9,0.9,"94,615","39,974","21,035","18,535","5,997","5,858","1,408",741,"1,068","22,416","7,934","3,209","1,495","1,114","8,664","35,383",17.4,"2,032",0.9,1.0,1.0,"7,978",60.0,133,1.1,0.9,1.2,47.7,23.7,5.9,17.8,24.0,83.5,34.1,15.4,13.0,1.2,44.6,10.2,5.5,1.5,4.0,4.7,13.0,27.2,12.8,11.0,1.2,8.4,17.1,13.7,63.5,25.0,67.3,15.7,"6,340","6,108",233
103,CO- DENVER,60104,St. Anthony North Health Campus,Westminster,CO,CommonSpirit Health,107,84.6,0.7,"80,662","35,172","20,486","8,381","4,981","8,424","1,091","1,213",915,"16,126","6,243","2,648","1,134",930,"5,171","31,780",12.2,"2,606",0.8,0.7,1.3,"6,263",49.5,126,0.9,0.7,1.2,33.4,10.6,5.6,5.1,22.8,39.4,27.0,11.1,11.6,1.0,30.5,7.0,2.6,1.6,1.1,4.4,6.0,22.3,9.3,10.1,0.9,8.4,15.9,12.1,72.1,34.2,71.1,15.3,"5,010","4,635",374
103,CO- DENVER,60112,Sky Ridge Medical Center,Lone Tree,CO,HCA Healthcare,176,86.3,1.0,"103,100","43,154","26,741","13,261","8,676","6,562","1,112","1,368","2,228","26,653","8,153","4,498","1,797","1,662","10,542","38,232",19.0,"2,008",1.0,1.1,1.0,"8,186",69.8,117,1.1,1.1,1.1,52.2,9.2,7.6,1.6,43.0,56.1,38.0,18.0,12.2,1.5,45.2,11.8,2.0,1.9,0.1,9.8,9.9,33.8,16.8,12.2,1.4,15.4,19.2,12.4,69.4,23.2,73.6,18.0,"7,680","7,301",379
103,CO- DENVER,60113,Littleton Adventist Hospital,Littleton,CO,AdventHealth,229,89.3,0.9,"90,592","35,867","19,791","15,163","6,167","9,531","1,399",909,"1,766","20,976","8,179","3,397","1,301","1,304","6,795","31,168",16.1,"1,932",0.8,0.9,0.9,"8,196",60.9,135,1.1,0.9,1.2,44.2,17.3,6.8,10.6,26.9,51.4,33.7,15.8,11.9,1.3,40.8,10.2,4.0,2.0,2.0,6.2,7.3,29.7,15.6,10.7,1.5,8.7,26.1,18.2,61.1,29.6,65.8,17.9,"5,612","5,356",256
103,CO- DENVER,60114,Parker Adventist Hospital,Parker,CO,AdventHealth,147,89.0,1.0,"99,041","40,590","20,772","15,823","7,896","9,751","1,998",919,"1,291","20,408","7,703","3,216","1,778","1,070","6,641","35,870",17.6,"2,038",1.0,1.0,1.0,"7,765",65.5,119,1.1,1.0,1.1,48.2,10.4,7.8,2.7,37.8,63.6,35.6,14.7,14.8,1.0,42.7,9.6,2.1,1.9,0.2,7.4,10.4,28.2,11.9,12.7,0.9,10.9,19.0,14.3,68.6,35.9,65.3,16.3,"5,859","5,604",255
101,CO- BOULDER,60116,Good Samaritan Med Ctr,Lafayette,CO,SCL Health,103,89.5,0.7,"81,084","32,199","16,442","12,079","6,454","10,460","1,215","1,135","1,099","14,618","7,037","2,364","2,038",745,"2,434","28,733",13.3,"2,155",0.8,0.7,1.0,"7,047",49.4,143,1.0,0.7,1.3,36.5,16.0,3.3,12.7,20.5,47.2,22.8,10.7,7.7,1.4,33.1,7.1,3.2,0.7,2.5,3.9,7.7,21.0,8.0,4.3,1.8,9.5,15.9,14.0,68.4,36.8,59.5,14.3,"4,170","3,855",315
106,CO- GREELEY,60119,Medical Center Of The Rockies,Loveland,CO,UCHealth,261,85.2,0.9,"92,933","41,847","21,729","16,088","5,585","4,600",942,"1,173",969,"14,708","6,341","2,979","1,886",763,"2,739","37,591",16.2,"2,314",1.0,0.9,1.1,"6,479",57.5,113,0.9,0.9,1.0,44.5,17.4,6.2,11.2,27.1,57.9,25.9,12.4,7.1,1.7,40.9,9.6,3.2,1.5,1.7,6.4,9.7,26.4,11.2,5.4,2.1,11.1,25.4,19.1,55.2,19.6,72.6,17.2,"4,667","4,327",340
110,CT- HARTFORD,70002,St. Francis Hosp And Med Ctr,Hartford,CT,Trinity Health,658,91.5,1.0,"96,251","45,943","19,894","15,748","6,026","4,898","2,205",732,807,"17,665","7,960","2,781","1,150",955,"4,820","41,058",17.1,"2,399",1.1,0.9,1.2,"7,989",64.1,125,1.1,1.0,1.2,46.9,25.1,6.0,19.1,21.8,66.7,27.4,14.4,7.1,2.0,44.4,10.3,5.9,1.6,4.3,4.4,12.6,32.0,15.9,5.5,2.9,10.9,28.8,24.2,54.0,16.9,76.5,18.6,"5,011","4,790",221
110,CT- HARTFORD,70003,Day Kimball Hospital,Putnam,CT,,137,89.9,0.7,"87,953","36,518","16,302","23,368","5,468","3,060","2,086",985,167,"12,580","6,122","2,016",921,526,"2,995","33,319",14.6,"2,287",0.9,0.8,1.1,"6,152",48.5,127,0.9,0.7,1.2,39.9,10.8,6.0,4.8,29.1,106.7,26.1,9.9,12.4,0.8,35.7,8.1,2.7,1.5,1.2,5.4,16.3,20.8,8.4,11.0,0.8,9.7,24.3,17.6,28.0,12.4,51.6,11.9,"3,640","3,363",277
110,CT- HARTFORD,70004,Sharon Hospital,Sharon,CT,"Health Quest Systems, Inc.",92,82.8,0.7,"96,894","50,759","17,246","17,202","4,272","4,375","2,082",511,447,"14,585","6,431","2,143","1,186",701,"4,125","47,670",15.0,"3,168",1.3,0.8,1.5,"6,659",52.1,128,0.9,0.8,1.2,41.2,10.3,5.7,4.5,31.0,69.2,26.0,9.5,10.8,0.9,36.4,8.1,1.9,1.4,0.5,6.2,9.1,19.5,8.6,7.3,1.2,8.6,17.1,-99999.0,52.2,14.3,53.4,12.1,"4,072","3,923",149
111,CT- NEW HAVEN,70005,Waterbury Hospital,Waterbury,CT,Prospect Medical Holdings,296,92.7,1.1,"106,835","54,898","17,202","18,966","6,552","5,066","2,655",725,770,"18,062","9,241","2,678","1,515",944,"3,684","49,561",21.7,"2,288",1.3,1.2,1.1,"9,252",66.9,138,1.3,1.0,1.3,59.4,19.0,8.6,10.4,40.4,72.3,34.9,18.2,10.6,1.7,53.6,12.4,4.9,1.9,3.0,7.5,12.1,32.7,18.4,10.3,1.8,13.9,25.4,20.2,54.2,15.0,83.6,18.6,"4,870","4,660",210
109,CT- BRIDGEPORT,70006,Stamford Hospital,Stamford,CT,,335,93.8,1.3,"109,047","50,963","20,978","19,774","7,662","6,679","1,683",560,746,"17,666","9,862","3,173","1,131",842,"2,659","44,506",21.3,"2,088",1.2,1.2,1.0,"9,879",85.8,115,1.4,1.3,1.1,58.4,10.0,3.7,6.3,48.4,66.9,34.0,19.5,8.0,2.4,48.1,12.5,2.5,0.9,1.5,10.1,12.1,41.6,20.5,6.3,3.2,12.1,22.6,16.7,56.3,18.4,73.8,18.1,"4,934","4,771",164
111,CT- NEW HAVEN,70007,Lawrence & Memorial Hospital,New London,CT,Yale New Haven Health,411,91.1,1.0,"102,435","46,943","18,029","20,530","8,527","4,065","2,397","1,032",912,"16,756","8,538","3,131",965,687,"3,435","41,602",21.8,"1,912",1.1,1.2,0.9,"8,555",60.2,142,1.2,0.9,1.3,59.6,8.5,7.0,1.5,51.1,86.1,31.8,13.6,12.3,1.1,50.4,12.9,2.2,1.8,0.3,10.8,13.6,27.5,14.1,10.5,1.3,16.0,27.6,12.4,47.1,14.2,77.3,18.4,"4,885","4,589",296
109,CT- BRIDGEPORT,70010,Bridgeport Hospital,Bridgeport,CT,Yale New Haven Health,498,92.3,1.4,"115,067","53,644","20,765","19,431","10,022","6,802","2,327",910,"1,166","18,762","9,320","3,225","1,186",937,"4,094","47,564",26.2,"1,814",1.3,1.5,0.9,"9,330",79.0,118,1.3,1.2,1.1,71.8,22.2,7.5,14.6,49.7,71.2,36.0,17.0,12.8,1.3,63.2,15.5,4.9,2.2,2.8,10.5,11.2,39.0,18.4,14.7,1.3,18.6,22.0,16.7,56.0,18.7,79.1,21.9,"5,242","4,982",260
110,CT- HARTFORD,70011,The Charlotte Hungerford Hosp,Torrington,CT,Hartford HealthCare,214,93.1,0.8,"90,679","35,953","20,366","17,414","8,423","4,613","2,030","1,026",855,"18,166","6,536","2,400","1,080",631,"7,520","32,742",18.3,"1,789",0.9,1.0,0.9,"6,547",51.6,127,0.9,0.8,1.2,50.2,21.9,4.7,17.2,28.2,72.4,22.7,10.6,6.1,1.7,45.5,12.3,5.8,1.4,4.5,6.4,13.5,25.6,13.8,5.4,2.6,17.8,23.2,17.8,61.1,12.4,68.4,15.5,"4,999","4,706",293
111,CT- NEW HAVEN,70016,St. Mary's Hospital,Waterbury,CT,Trinity Health,322,92.0,0.9,"94,303","45,352","17,254","15,116","7,154","5,401","2,428",805,793,"17,101","8,596","2,947","1,350",910,"3,298","40,617",16.0,"2,532",1.1,0.9,1.2,"8,602",57.9,149,1.2,0.9,1.4,44.0,25.1,5.8,19.3,18.9,57.4,32.0,15.1,10.7,1.4,42.1,10.1,6.3,1.7,4.6,3.8,10.1,30.1,16.1,10.2,1.6,13.4,15.4,14.6,65.2,17.7,73.5,17.1,"4,991","4,727",263
111,CT- NEW HAVEN,70017,Midstate Medical Center,Meriden,CT,Hartford HealthCare,267,87.0,1.0,"98,991","42,559","20,016","20,367","6,583","5,414","2,727",581,745,"18,061","8,223","2,292","1,152",959,"5,435","38,045",19.3,"1,973",1.0,1.1,0.9,"8,230",62.2,132,1.2,0.9,1.2,52.8,26.5,3.4,23.1,26.4,74.6,31.6,13.7,11.9,1.1,47.9,11.3,6.0,0.8,5.2,5.3,11.9,30.4,14.5,12.7,1.1,10.2,20.2,17.3,60.2,14.8,74.9,18.9,"4,643","4,476",167
109,CT- BRIDGEPORT,70018,Greenwich Hospital,Greenwich,CT,Yale New Haven Health,331,92.5,1.3,"105,902","49,525","25,900","16,964","6,222","3,556","1,957","1,006",772,"18,610","9,028","3,858","1,285","1,047","3,390","44,095",23.9,"1,843",1.2,1.3,0.9,"9,034",91.3,99,1.3,1.4,0.9,65.6,16.9,4.6,12.3,48.6,64.0,41.2,18.3,15.7,1.2,55.7,13.9,4.0,1.2,2.8,9.9,9.9,42.6,20.1,16.8,1.2,10.9,44.2,33.8,35.4,12.9,72.4,16.1,"5,391","5,118",273
110,CT- HARTFORD,70020,Middlesex Hospital,Middletown,CT,,406,90.9,0.8,"92,878","39,728","19,524","15,638","7,031","6,459","3,039",768,690,"19,670","7,356","2,923","1,032",730,"7,628","36,038",17.3,"2,086",1.0,1.0,1.0,"7,360",53.0,139,1.0,0.8,1.3,47.3,15.9,10.1,5.8,31.4,62.9,27.3,11.0,10.7,1.0,44.5,10.3,3.6,2.5,1.1,6.7,11.8,23.5,8.9,9.6,0.9,13.0,19.5,14.5,64.2,20.7,67.7,15.7,"5,291","5,069",221
110,CT- HARTFORD,70021,Windham Hospital,Willimantic,CT,Hartford HealthCare,85,85.9,0.9,"110,855","60,553","17,833","17,486","7,056","4,243","2,435",677,571,"13,996","6,720","2,102",951,819,"3,405","56,609",19.6,"2,885",1.5,1.1,1.4,"6,727",50.9,132,0.9,0.8,1.2,53.8,21.2,2.0,19.2,32.5,89.4,27.3,10.5,11.8,0.9,46.6,9.5,4.2,0.4,3.7,5.3,12.1,21.0,9.1,10.3,0.9,11.5,17.0,-99999.0,60.9,16.4,64.8,14.8,"4,044","3,842",202
111,CT- NEW HAVEN,70022,Yale-New Haven Hospital,New Haven,CT,Yale New Haven Health,"1,302",94.2,1.2,"116,706","59,866","21,452","16,523","8,347","6,389","2,273",854,"1,001","16,800","7,882","2,764","1,137","1,020","3,998","54,965",24.3,"2,265",1.5,1.3,1.1,"7,901",66.0,120,1.1,1.0,1.1,66.5,13.5,8.8,4.8,52.9,69.9,32.7,16.0,10.1,1.6,57.6,14.4,3.4,2.3,1.1,11.0,11.0,31.0,16.6,8.6,1.9,16.2,22.7,14.8,60.6,18.9,74.2,18.6,"5,096","4,846",250
110,CT- HARTFORD,70024,The William W. Backus Hospital,Norwich,CT,Hartford HealthCare,288,91.9,1.1,"103,220","49,978","24,252","16,415","5,697","3,073","1,870","1,211",725,"21,536","7,685","2,564","1,054","1,168","9,064","44,960",22.4,"2,008",1.2,1.2,1.0,"7,776",67.9,115,1.1,1.0,1.1,61.3,10.9,4.3,6.7,50.4,82.0,33.3,16.1,11.7,1.4,50.9,12.8,2.4,1.0,1.4,10.4,13.1,32.3,16.2,13.5,1.2,11.8,22.0,16.2,55.4,11.0,76.0,17.9,"6,720","6,356",365
110,CT- HARTFORD,70025,Hartford Hospital,Hartford,CT,Hartford HealthCare,774,89.9,1.0,"98,963","49,382","18,342","15,271","7,341","4,280","2,251","1,106",992,"18,494","7,530","2,983","1,252","1,070","5,658","44,582",20.1,"2,217",1.2,1.1,1.1,"7,556",58.6,129,1.1,0.9,1.2,55.1,30.7,5.6,25.2,24.4,68.7,29.3,15.1,8.6,1.8,51.8,11.9,6.9,1.5,5.3,5.0,11.1,27.8,15.6,9.0,1.7,14.3,26.1,20.6,55.0,15.2,75.6,18.7,"5,402","5,084",318
110,CT- HARTFORD,70027,Manchester Memorial Hospital,Manchester,CT,Prospect Medical Holdings,180,82.6,0.8,"93,175","39,445","21,369","13,882","8,310","6,287","2,558",846,478,"21,270","7,017","3,264","1,188",737,"9,064","35,561",16.0,"2,221",0.9,0.9,1.1,"7,031",52.4,134,1.0,0.8,1.2,43.9,19.5,7.0,12.5,24.4,59.1,25.2,10.7,9.5,1.1,41.3,9.1,4.5,1.9,2.6,4.6,8.2,22.9,8.8,9.2,1.0,16.5,23.6,16.4,56.0,25.5,66.9,14.9,"6,094","5,829",265
109,CT- BRIDGEPORT,70028,St. Vincent's Medical Center,Bridgeport,CT,Hartford HealthCare,289,91.7,1.2,"105,797","50,047","19,119","17,299","8,861","6,600","2,199",672,"1,001","21,628","9,009","3,318","1,261","1,075","6,965","44,473",20.0,"2,226",1.2,1.1,1.1,"9,030",76.2,118,1.3,1.2,1.1,54.7,25.2,4.4,20.8,29.5,68.5,36.1,18.1,12.0,1.5,49.6,12.2,6.3,1.5,4.8,5.9,10.5,38.9,21.3,13.7,1.6,15.0,30.7,22.0,53.7,17.1,82.8,20.5,"6,159","5,963",196
110,CT- HARTFORD,70029,Bristol Hospital,Bristol,CT,,152,93.2,0.8,"90,287","42,151","17,486","16,130","5,416","5,478","2,170",961,495,"15,630","8,403","2,284","1,081",594,"3,269","37,615",16.2,"2,329",1.0,0.9,1.1,"8,403",53.6,157,1.2,0.8,1.5,44.3,11.3,9.0,2.3,33.0,63.0,29.3,11.5,11.6,1.0,40.5,9.3,2.5,2.0,0.5,6.8,13.1,26.1,11.0,9.8,1.1,7.8,32.2,19.3,49.2,18.8,80.0,16.9,"4,402","4,114",288
111,CT- NEW HAVEN,70031,Griffin Hospital,Derby,CT,,137,92.3,1.2,"99,733","48,819","15,331","19,088","8,398","5,173","1,683",519,723,"16,095","9,040","2,356","1,137",725,"2,838","43,328",21.7,"1,995",1.2,1.2,1.0,"9,078",75.8,120,1.3,1.1,1.1,59.5,11.7,9.9,1.8,47.8,76.9,38.0,19.7,13.6,1.4,52.5,13.7,2.9,2.8,0.1,10.8,12.6,39.6,21.7,15.6,1.4,15.0,26.7,16.2,53.9,14.2,80.4,17.9,"4,535","4,373",162
111,CT- NEW HAVEN,70033,Danbury Hospital,Danbury,CT,Nuvance Health,740,95.2,1.1,"106,597","49,349","19,410","19,055","8,524","5,628","2,517","1,075","1,038","16,831","8,360","3,066","1,043",883,"3,478","44,592",20.8,"2,146",1.2,1.2,1.0,"8,378",68.7,122,1.2,1.0,1.1,56.9,8.4,4.2,4.2,48.5,74.1,34.1,15.7,12.3,1.3,46.9,11.8,2.2,1.1,1.0,9.7,13.1,31.0,15.8,11.9,1.3,14.7,31.2,15.7,47.5,17.6,80.4,19.1,"4,852","4,549",303
